rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16
"Maher, David P.","Toomey, Timothy J., Jr.","Galluccio, Anthony D.","Sullivan, Edward J.","Decker, Marjorie C.","Moore, M. Kevin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.","Toomey, Timothy J., Jr.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.","Galluccio, Anthony D.","Toomey, Timothy J., Jr.","Reeves, Kenneth E.","Moree, Gregg J.","Sullivan, Edward J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Sullivan, Edward J.","Toomey, Timothy J., Jr.","Maher, David P.","Moore, M. Kevin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Sullivan, Edward J.","Maher, David P.","Simmons, E. Denise","Moree, Gregg J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.","Murphy, Brian","Sullivan, Edward J.","Toomey, Timothy J., Jr.","Galluccio, Anthony D.","Davis, Henrietta","Reeves, Kenneth E.",skipped,"Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Seidel, Sam","Simmons, E. Denise","Murphy, Brian","Kelley, Craig A.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.","Reeves, Kenneth E.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Ward, Larry W.","Murphy, Brian","Kelley, Craig A.","Seidel, Sam","Simmons, E. Denise","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Murphy, Brian","Decker, Marjorie C.","Seidel, Sam","Davis, Henrietta","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Sullivan, Edward J.","Toomey, Timothy J., Jr.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Ward, Larry W.","Davis, Henrietta","Decker, Marjorie C.","Kelley, Craig A.","Toomey, Timothy J., Jr.","Murphy, Brian","Reeves, Kenneth E.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Seidel, Sam","Ward, Larry W.","Moore, M. Kevin","Decker, Marjorie C.","Toomey, Timothy J., Jr.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Seidel, Sam","Maher, David P.","Decker, Marjorie C.","Ward, Larry W.","Simmons, E. Denise","Moore, M. Kevin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Seidel, Sam","Simmons, E. Denise","Decker, Marjorie C.","Galluccio, Anthony D.","Sullivan, Edward J.","Toomey, Timothy J., Jr.","Davis, Henrietta","Ward, Larry W.","Janik, Jonathan S.","Maher, David P.","Murphy, Brian","Podgers, Kathy","Reeves, Kenneth E.",skipped,"Moree, Gregg J."
"Kelley, Craig A.","Murphy, Brian","Toomey, Timothy J., Jr.","Davis, Henrietta","Decker, Marjorie C.","Maher, David P.","Simmons, E. Denise","Reeves, Kenneth E.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.","Decker, Marjorie C.","Moree, Gregg J.","Murphy, Brian","Simmons, E. Denise","Ward, Larry W.","Davis, Henrietta","Galluccio, Anthony D.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Ward, Larry W.","Decker, Marjorie C.","Simmons, E. Denise","Murphy, Brian","Davis, Henrietta","Galluccio, Anthony D.","Maher, David P.","Sullivan, Edward J.","Kelley, Craig A.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped
"Moore, M. Kevin","Ward, Larry W.","Maher, David P.","Kelley, Craig A.","Decker, Marjorie C.","Simmons, E. Denise","Reeves, Kenneth E.","Sullivan, Edward J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Galluccio, Anthony D.","Sullivan, Edward J.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Seidel, Sam","Murphy, Brian","Simmons, E. Denise","Decker, Marjorie C.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Reeves, Kenneth E.","Seidel, Sam","Toomey, Timothy J., Jr.","Davis, Henrietta","Decker, Marjorie C.","Moore, M. Kevin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Seidel, Sam","Maher, David P.","Toomey, Timothy J., Jr.","Davis, Henrietta","Simmons, E. Denise","Ward, Larry W.","Moore, M. Kevin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Davis, Henrietta","Reeves, Kenneth E.","Galluccio, Anthony D.","Simmons, E. Denise","Decker, Marjorie C.","Maher, David P.","Moree, Gregg J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Ward, Larry W.","Galluccio, Anthony D.","Reeves, Kenneth E.","Kelley, Craig A.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Sullivan, Edward J.","Toomey, Timothy J., Jr.","Maher, David P.","Murphy, Brian","Reeves, Kenneth E.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Sullivan, Edward J.","Maher, David P.","Toomey, Timothy J., Jr.","Reeves, Kenneth E.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.","Sullivan, Edward J.","Kelley, Craig A.","Toomey, Timothy J., Jr.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.","Sullivan, Edward J.","Kelley, Craig A.","Podgers, Kathy","Decker, Marjorie C.","Janik, Jonathan S.","Moore, M. Kevin","Murphy, Brian","Galluccio, Anthony D.","Moree, Gregg J.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Murphy, Brian","Janik, Jonathan S.","Sullivan, Edward J.","Reeves, Kenneth E.","Ward, Larry W.","Simmons, E. Denise","Moree, Gregg J.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.","Sullivan, Edward J.","Toomey, Timothy J., Jr.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Moree, Gregg J.","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Murphy, Brian","Ward, Larry W.","Seidel, Sam","Kelley, Craig A.","Davis, Henrietta","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Sullivan, Edward J.","Decker, Marjorie C.","Maher, David P.","Murphy, Brian","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Sullivan, Edward J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.","Sullivan, Edward J.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Moree, Gregg J.","Toomey, Timothy J., Jr.","Sullivan, Edward J.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Davis, Henrietta","Murphy, Brian","Janik, Jonathan S.","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Toomey, Timothy J., Jr.","Murphy, Brian","Kelley, Craig A.","Maher, David P.","Galluccio, Anthony D.","Decker, Marjorie C.","Davis, Henrietta","Sullivan, Edward J.","Moore, M. Kevin",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Simmons, E. Denise","Moore, M. Kevin","Seidel, Sam","Murphy, Brian","Davis, Henrietta","Ward, Larry W.","Maher, David P.","Janik, Jonathan S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Simmons, E. Denise","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Davis, Henrietta","Seidel, Sam","Maher, David P.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Sullivan, Edward J.","Kelley, Craig A.","Maher, David P.","Murphy, Brian","Toomey, Timothy J., Jr.","Decker, Marjorie C.","Davis, Henrietta","Reeves, Kenneth E.","Simmons, E. Denise","Moree, Gregg J.","Moore, M. Kevin",skipped,skipped,skipped,skipped,skipped
"Ward, Larry W.","Toomey, Timothy J., Jr.","Decker, Marjorie C.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Ward, Larry W.","Simmons, E. Denise","Decker, Marjorie C.","Seidel, Sam","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Simmons, E. Denise","Seidel, Sam","Ward, Larry W.","Decker, Marjorie C.","Janik, Jonathan S.","Murphy, Brian","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.","Kelley, Craig A.","Galluccio, Anthony D.","Sullivan, Edward J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Galluccio, Anthony D.","Moore, M. Kevin","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Seidel, Sam","Decker, Marjorie C.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Kelley, Craig A.","Ward, Larry W.","Simmons, E. Denise","Maher, David P.","Moore, M. Kevin","Moree, Gregg J.","Murphy, Brian","Podgers, Kathy","Reeves, Kenneth E.","Seidel, Sam","Sullivan, Edward J.","Toomey, Timothy J., Jr.","Decker, Marjorie C.","Galluccio, Anthony D.",skipped
"Maher, David P.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Reeves, Kenneth E.","Kelley, Craig A.","Toomey, Timothy J., Jr.","Maher, David P.","Seidel, Sam","Simmons, E. Denise","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Galluccio, Anthony D.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Galluccio, Anthony D.","Sullivan, Edward J.","Maher, David P.","Moore, M. Kevin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Murphy, Brian","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Decker, Marjorie C.","Kelley, Craig A.","Murphy, Brian","Seidel, Sam","Toomey, Timothy J., Jr.","Simmons, E. Denise","Moree, Gregg J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.","Simmons, E. Denise","Davis, Henrietta","Toomey, Timothy J., Jr.","Sullivan, Edward J.","Reeves, Kenneth E.","Podgers, Kathy","Murphy, Brian","Moore, M. Kevin","Seidel, Sam","Ward, Larry W.","Janik, Jonathan S.","Kelley, Craig A.","Decker, Marjorie C.","Moree, Gregg J.",skipped
Write-In 1,"Reeves, Kenneth E.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Toomey, Timothy J., Jr.","Maher, David P.","Sullivan, Edward J.","Galluccio, Anthony D.","Simmons, E. Denise","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Toomey, Timothy J., Jr.","Davis, Henrietta","Decker, Marjorie C.","Murphy, Brian","Seidel, Sam","Maher, David P.","Reeves, Kenneth E.","Kelley, Craig A.","Janik, Jonathan S.","Ward, Larry W.","Moree, Gregg J.",skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Kelley, Craig A.","Davis, Henrietta","Murphy, Brian","Ward, Larry W.","Simmons, E. Denise","Seidel, Sam","Janik, Jonathan S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Sullivan, Edward J.","Moree, Gregg J.","Decker, Marjorie C.","Toomey, Timothy J., Jr.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Ward, Larry W.","Moore, M. Kevin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Toomey, Timothy J., Jr.","Janik, Jonathan S.","Moore, M. Kevin","Moree, Gregg J.","Sullivan, Edward J.","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Toomey, Timothy J., Jr.","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Moore, M. Kevin","Podgers, Kathy","Simmons, E. Denise","Sullivan, Edward J.","Janik, Jonathan S.","Seidel, Sam","Ward, Larry W.","Kelley, Craig A.","Moree, Gregg J.","Reeves, Kenneth E.","Maher, David P.","Murphy, Brian"
"Davis, Henrietta","Sullivan, Edward J.","Murphy, Brian","Moree, Gregg J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Reeves, Kenneth E.","Moore, M. Kevin","Simmons, E. Denise",skipped,"Sullivan, Edward J.",skipped,"Toomey, Timothy J., Jr.","Galluccio, Anthony D.",skipped,"Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped
"Sullivan, Edward J.","Toomey, Timothy J., Jr.","Galluccio, Anthony D.","Maher, David P.","Moore, M. Kevin","Moree, Gregg J.","Murphy, Brian","Podgers, Kathy","Seidel, Sam",skipped,"Ward, Larry W.",skipped,"Decker, Marjorie C.","Janik, Jonathan S.","Kelley, Craig A.","Reeves, Kenneth E."
"Kelley, Craig A.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Toomey, Timothy J., Jr.","Decker, Marjorie C.","Maher, David P.","Murphy, Brian","Davis, Henrietta","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Davis, Henrietta","Janik, Jonathan S.","Moore, M. Kevin","Murphy, Brian","Podgers, Kathy","Reeves, Kenneth E.","Kelley, Craig A.","Seidel, Sam","Sullivan, Edward J.","Simmons, E. Denise","Toomey, Timothy J., Jr.","Ward, Larry W.","Maher, David P.","Moree, Gregg J.","Galluccio, Anthony D."
"Murphy, Brian","Decker, Marjorie C.","Kelley, Craig A.","Seidel, Sam","Reeves, Kenneth E.","Maher, David P.","Davis, Henrietta","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.","Davis, Henrietta","Simmons, E. Denise","Murphy, Brian","Janik, Jonathan S.","Moore, M. Kevin","Podgers, Kathy","Seidel, Sam","Toomey, Timothy J., Jr.","Reeves, Kenneth E.","Decker, Marjorie C.","Kelley, Craig A.",skipped,skipped,skipped,skipped
"Simmons, E. Denise",overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Ward, Larry W.","Simmons, E. Denise","Kelley, Craig A.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,"Reeves, Kenneth E.","Kelley, Craig A.","Davis, Henrietta","Decker, Marjorie C.","Toomey, Timothy J., Jr.","Moree, Gregg J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Reeves, Kenneth E.","Maher, David P.","Moree, Gregg J.","Decker, Marjorie C.","Toomey, Timothy J., Jr.","Moore, M. Kevin","Galluccio, Anthony D.",skipped,"Davis, Henrietta","Ward, Larry W.","Janik, Jonathan S.",skipped,"Kelley, Craig A.","Podgers, Kathy","Seidel, Sam"
"Decker, Marjorie C.","Kelley, Craig A.","Davis, Henrietta","Simmons, E. Denise","Seidel, Sam","Murphy, Brian","Janik, Jonathan S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Decker, Marjorie C.","Reeves, Kenneth E.","Murphy, Brian","Maher, David P.","Simmons, E. Denise","Moore, M. Kevin","Toomey, Timothy J., Jr.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.","Moore, M. Kevin","Murphy, Brian","Reeves, Kenneth E.","Janik, Jonathan S.","Simmons, E. Denise","Kelley, Craig A.","Toomey, Timothy J., Jr.","Ward, Larry W.","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Seidel, Sam","Podgers, Kathy","Moree, Gregg J.",skipped
"Toomey, Timothy J., Jr.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Sullivan, Edward J.","Maher, David P.","Toomey, Timothy J., Jr.","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Murphy, Brian","Reeves, Kenneth E.","Moree, Gregg J.","Moore, M. Kevin",skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Davis, Henrietta","Seidel, Sam","Janik, Jonathan S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Moree, Gregg J.","Simmons, E. Denise","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Simmons, E. Denise","Murphy, Brian","Ward, Larry W.","Decker, Marjorie C.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Seidel, Sam","Moree, Gregg J.","Reeves, Kenneth E.","Sullivan, Edward J.","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Toomey, Timothy J., Jr.","Reeves, Kenneth E.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Sullivan, Edward J.","Toomey, Timothy J., Jr.","Seidel, Sam","Podgers, Kathy","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Maher, David P.","Reeves, Kenneth E.","Toomey, Timothy J., Jr.","Davis, Henrietta","Decker, Marjorie C.","Simmons, E. Denise","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Sullivan, Edward J.","Moree, Gregg J.","Moore, M. Kevin","Toomey, Timothy J., Jr.","Simmons, E. Denise","Murphy, Brian","Decker, Marjorie C.","Maher, David P.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Davis, Henrietta","Decker, Marjorie C.","Janik, Jonathan S.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Davis, Henrietta","Decker, Marjorie C.","Moore, M. Kevin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Davis, Henrietta","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.","Sullivan, Edward J.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.","Sullivan, Edward J.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Ward, Larry W.","Murphy, Brian","Seidel, Sam","Simmons, E. Denise","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Simmons, E. Denise","Murphy, Brian","Seidel, Sam","Davis, Henrietta","Ward, Larry W.","Decker, Marjorie C.","Janik, Jonathan S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.","Reeves, Kenneth E.","Moore, M. Kevin","Seidel, Sam","Ward, Larry W.","Simmons, E. Denise","Davis, Henrietta","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Simmons, E. Denise","Ward, Larry W.","Moore, M. Kevin","Janik, Jonathan S.","Davis, Henrietta","Murphy, Brian","Toomey, Timothy J., Jr.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Galluccio, Anthony D.","Seidel, Sam","Ward, Larry W.","Decker, Marjorie C.","Janik, Jonathan S.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Moore, M. Kevin","Ward, Larry W.","Murphy, Brian","Simmons, E. Denise","Seidel, Sam","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Davis, Henrietta","Ward, Larry W.","Toomey, Timothy J., Jr.","Sullivan, Edward J.","Maher, David P.","Moore, M. Kevin","Podgers, Kathy","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Sullivan, Edward J.","Galluccio, Anthony D.","Toomey, Timothy J., Jr.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Davis, Henrietta","Janik, Jonathan S.","Ward, Larry W.","Murphy, Brian","Seidel, Sam","Simmons, E. Denise","Decker, Marjorie C.","Sullivan, Edward J.","Toomey, Timothy J., Jr.","Galluccio, Anthony D.","Maher, David P.","Moore, M. Kevin","Reeves, Kenneth E.","Podgers, Kathy",skipped
"Simmons, E. Denise","Maher, David P.","Davis, Henrietta","Moore, M. Kevin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Davis, Henrietta","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Moore, M. Kevin","Ward, Larry W.","Decker, Marjorie C.","Galluccio, Anthony D.","Sullivan, Edward J.","Kelley, Craig A.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Decker, Marjorie C.","Reeves, Kenneth E.","Davis, Henrietta","Murphy, Brian","Maher, David P.","Seidel, Sam","Toomey, Timothy J., Jr.","Sullivan, Edward J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Maher, David P.","Simmons, E. Denise","Decker, Marjorie C.","Seidel, Sam","Reeves, Kenneth E.","Ward, Larry W.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Seidel, Sam","Ward, Larry W.","Janik, Jonathan S.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Moree, Gregg J.","Maher, David P.","Ward, Larry W.","Kelley, Craig A.","Decker, Marjorie C.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Janik, Jonathan S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Reeves, Kenneth E.","Toomey, Timothy J., Jr.","Maher, David P.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Simmons, E. Denise","Ward, Larry W.","Kelley, Craig A.","Murphy, Brian","Seidel, Sam","Toomey, Timothy J., Jr.","Janik, Jonathan S.",skipped,"Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Davis, Henrietta","Seidel, Sam","Reeves, Kenneth E.","Decker, Marjorie C.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Ward, Larry W.","Seidel, Sam","Simmons, E. Denise","Moore, M. Kevin","Decker, Marjorie C.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Davis, Henrietta","Seidel, Sam","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Davis, Henrietta","Kelley, Craig A.","Ward, Larry W.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
