rank1,rank2,rank3,rank4,rank5,rank6,rank7
KEITH KUDER,ANTHONY JENKINS,CRISTY WELSH,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,G. TYCE FLAKE,TAY GUDMUNDSON
G. TYCE FLAKE,KEITH KUDER,CRISTY WELSH,ANTHONY JENKINS,DAVID LAURET,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ
G. TYCE FLAKE,KEITH KUDER,CRISTY WELSH,ANTHONY JENKINS,DAVID LAURET,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ
skipped,skipped,skipped,skipped,skipped,skipped,skipped
KEITH KUDER,DAVID LAURET,TAY GUDMUNDSON,G. TYCE FLAKE,CRISTY WELSH,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ
CRISTY WELSH,ANTHONY JENKINS,skipped,skipped,skipped,skipped,skipped
G. TYCE FLAKE,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,TAY GUDMUNDSON,ANTHONY JENKINS,KEITH KUDER
HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,CRISTY WELSH,DAVID LAURET,G. TYCE FLAKE,ANTHONY JENKINS,KEITH KUDER
CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,DAVID LAURET,G. TYCE FLAKE,TAY GUDMUNDSON,ANTHONY JENKINS,KEITH KUDER
DAVID LAURET,CRISTY WELSH,skipped,skipped,skipped,skipped,skipped
DAVID LAURET,CRISTY WELSH,skipped,skipped,skipped,skipped,skipped
HECTOR RAFAEL HERNANDEZ,G. TYCE FLAKE,KEITH KUDER,skipped,skipped,skipped,skipped
G. TYCE FLAKE,CRISTY WELSH,ANTHONY JENKINS,skipped,skipped,skipped,skipped
G. TYCE FLAKE,DAVID LAURET,CRISTY WELSH,KEITH KUDER,skipped,skipped,skipped
CRISTY WELSH,G. TYCE FLAKE,DAVID LAURET,TAY GUDMUNDSON,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,skipped
CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,skipped,skipped,skipped,skipped,skipped
G. TYCE FLAKE,CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
G. TYCE FLAKE,DAVID LAURET,CRISTY WELSH,ANTHONY JENKINS,KEITH KUDER,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON
G. TYCE FLAKE,CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
DAVID LAURET,CRISTY WELSH,G. TYCE FLAKE,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,KEITH KUDER,ANTHONY JENKINS
DAVID LAURET,CRISTY WELSH,G. TYCE FLAKE,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,KEITH KUDER
ANTHONY JENKINS,CRISTY WELSH,skipped,skipped,skipped,skipped,skipped
HECTOR RAFAEL HERNANDEZ,KEITH KUDER,DAVID LAURET,CRISTY WELSH,skipped,skipped,skipped
CRISTY WELSH,DAVID LAURET,G. TYCE FLAKE,ANTHONY JENKINS,skipped,skipped,skipped
CRISTY WELSH,DAVID LAURET,G. TYCE FLAKE,ANTHONY JENKINS,skipped,skipped,skipped
HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,G. TYCE FLAKE,skipped,skipped,skipped,skipped
CRISTY WELSH,G. TYCE FLAKE,ANTHONY JENKINS,TAY GUDMUNDSON,DAVID LAURET,KEITH KUDER,HECTOR RAFAEL HERNANDEZ
DAVID LAURET,CRISTY WELSH,G. TYCE FLAKE,ANTHONY JENKINS,KEITH KUDER,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ
DAVID LAURET,CRISTY WELSH,G. TYCE FLAKE,ANTHONY JENKINS,KEITH KUDER,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON
G. TYCE FLAKE,DAVID LAURET,CRISTY WELSH,skipped,skipped,skipped,skipped
G. TYCE FLAKE,DAVID LAURET,CRISTY WELSH,skipped,skipped,skipped,skipped
CRISTY WELSH,DAVID LAURET,skipped,skipped,skipped,skipped,skipped
CRISTY WELSH,DAVID LAURET,G. TYCE FLAKE,ANTHONY JENKINS,skipped,skipped,skipped
CRISTY WELSH,G. TYCE FLAKE,DAVID LAURET,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,skipped,skipped
ANTHONY JENKINS,skipped,skipped,skipped,skipped,skipped,skipped
HECTOR RAFAEL HERNANDEZ,KEITH KUDER,G. TYCE FLAKE,CRISTY WELSH,skipped,skipped,skipped
CRISTY WELSH,skipped,skipped,skipped,skipped,skipped,skipped
HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,G. TYCE FLAKE,skipped,skipped,skipped,skipped
CRISTY WELSH,TAY GUDMUNDSON,skipped,skipped,skipped,skipped,skipped
CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,DAVID LAURET,G. TYCE FLAKE,skipped
G. TYCE FLAKE,G. TYCE FLAKE,G. TYCE FLAKE,G. TYCE FLAKE,G. TYCE FLAKE,G. TYCE FLAKE,G. TYCE FLAKE
DAVID LAURET,G. TYCE FLAKE,KEITH KUDER,skipped,skipped,skipped,skipped
TAY GUDMUNDSON,KEITH KUDER,HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,DAVID LAURET,ANTHONY JENKINS,G. TYCE FLAKE
CRISTY WELSH,KEITH KUDER,HECTOR RAFAEL HERNANDEZ,DAVID LAURET,G. TYCE FLAKE,TAY GUDMUNDSON,ANTHONY JENKINS
CRISTY WELSH,KEITH KUDER,ANTHONY JENKINS,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,DAVID LAURET,G. TYCE FLAKE
G. TYCE FLAKE,DAVID LAURET,CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
DAVID LAURET,G. TYCE FLAKE,CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
ANTHONY JENKINS,DAVID LAURET,TAY GUDMUNDSON,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,KEITH KUDER
G. TYCE FLAKE,CRISTY WELSH,ANTHONY JENKINS,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,KEITH KUDER
CRISTY WELSH,skipped,skipped,skipped,skipped,skipped,skipped
ANTHONY JENKINS,CRISTY WELSH,G. TYCE FLAKE,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,DAVID LAURET,skipped
G. TYCE FLAKE,ANTHONY JENKINS,DAVID LAURET,CRISTY WELSH,KEITH KUDER,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON
KEITH KUDER,HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,TAY GUDMUNDSON,ANTHONY JENKINS,DAVID LAURET,G. TYCE FLAKE
G. TYCE FLAKE,ANTHONY JENKINS,CRISTY WELSH,DAVID LAURET,skipped,skipped,skipped
G. TYCE FLAKE,DAVID LAURET,CRISTY WELSH,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,KEITH KUDER,TAY GUDMUNDSON
DAVID LAURET,G. TYCE FLAKE,CRISTY WELSH,ANTHONY JENKINS,KEITH KUDER,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ
KEITH KUDER,G. TYCE FLAKE,CRISTY WELSH,TAY GUDMUNDSON,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,DAVID LAURET
G. TYCE FLAKE,DAVID LAURET,CRISTY WELSH,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,KEITH KUDER
CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,G. TYCE FLAKE,KEITH KUDER
CRISTY WELSH,ANTHONY JENKINS,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,DAVID LAURET,KEITH KUDER
G. TYCE FLAKE,TAY GUDMUNDSON,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,DAVID LAURET,skipped,skipped
CRISTY WELSH,ANTHONY JENKINS,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,skipped,skipped,skipped
KEITH KUDER,G. TYCE FLAKE,DAVID LAURET,CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ
KEITH KUDER,G. TYCE FLAKE,DAVID LAURET,CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ
CRISTY WELSH,G. TYCE FLAKE,skipped,skipped,skipped,skipped,skipped
G. TYCE FLAKE,DAVID LAURET,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,ANTHONY JENKINS,KEITH KUDER
G. TYCE FLAKE,CRISTY WELSH,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,DAVID LAURET,skipped,skipped
CRISTY WELSH,G. TYCE FLAKE,DAVID LAURET,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,KEITH KUDER
ANTHONY JENKINS,CRISTY WELSH,KEITH KUDER,TAY GUDMUNDSON,DAVID LAURET,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ
G. TYCE FLAKE,CRISTY WELSH,skipped,skipped,skipped,skipped,skipped
CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,DAVID LAURET,G. TYCE FLAKE,TAY GUDMUNDSON,ANTHONY JENKINS,KEITH KUDER
CRISTY WELSH,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,KEITH KUDER,TAY GUDMUNDSON,DAVID LAURET,G. TYCE FLAKE
CRISTY WELSH,ANTHONY JENKINS,G. TYCE FLAKE,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,DAVID LAURET,KEITH KUDER
HECTOR RAFAEL HERNANDEZ,KEITH KUDER,G. TYCE FLAKE,CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,DAVID LAURET
CRISTY WELSH,G. TYCE FLAKE,KEITH KUDER,skipped,skipped,skipped,skipped
G. TYCE FLAKE,ANTHONY JENKINS,DAVID LAURET,skipped,skipped,skipped,skipped
G. TYCE FLAKE,CRISTY WELSH,TAY GUDMUNDSON,DAVID LAURET,KEITH KUDER,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ
HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,KEITH KUDER,G. TYCE FLAKE,ANTHONY JENKINS,DAVID LAURET,TAY GUDMUNDSON
G. TYCE FLAKE,CRISTY WELSH,TAY GUDMUNDSON,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,DAVID LAURET,KEITH KUDER
G. TYCE FLAKE,TAY GUDMUNDSON,CRISTY WELSH,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,KEITH KUDER
KEITH KUDER,CRISTY WELSH,DAVID LAURET,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,TAY GUDMUNDSON
CRISTY WELSH,TAY GUDMUNDSON,DAVID LAURET,skipped,skipped,skipped,skipped
KEITH KUDER,HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,TAY GUDMUNDSON,ANTHONY JENKINS,DAVID LAURET,G. TYCE FLAKE
CRISTY WELSH,KEITH KUDER,G. TYCE FLAKE,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,DAVID LAURET,TAY GUDMUNDSON
CRISTY WELSH,G. TYCE FLAKE,ANTHONY JENKINS,DAVID LAURET,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,skipped
DAVID LAURET,G. TYCE FLAKE,CRISTY WELSH,skipped,skipped,skipped,skipped
TAY GUDMUNDSON,G. TYCE FLAKE,ANTHONY JENKINS,KEITH KUDER,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,DAVID LAURET
DAVID LAURET,KEITH KUDER,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,G. TYCE FLAKE,TAY GUDMUNDSON
CRISTY WELSH,DAVID LAURET,KEITH KUDER,skipped,skipped,skipped,skipped
DAVID LAURET,G. TYCE FLAKE,CRISTY WELSH,skipped,skipped,skipped,skipped
CRISTY WELSH,ANTHONY JENKINS,G. TYCE FLAKE,DAVID LAURET,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
KEITH KUDER,G. TYCE FLAKE,ANTHONY JENKINS,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,TAY GUDMUNDSON
G. TYCE FLAKE,CRISTY WELSH,DAVID LAURET,ANTHONY JENKINS,KEITH KUDER,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ
KEITH KUDER,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,skipped,skipped,skipped
CRISTY WELSH,ANTHONY JENKINS,G. TYCE FLAKE,DAVID LAURET,skipped,skipped,KEITH KUDER
HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,KEITH KUDER,ANTHONY JENKINS,skipped,skipped,skipped
CRISTY WELSH,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,KEITH KUDER
G. TYCE FLAKE,DAVID LAURET,skipped,KEITH KUDER,skipped,skipped,CRISTY WELSH
HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,DAVID LAURET,G. TYCE FLAKE,KEITH KUDER,ANTHONY JENKINS,TAY GUDMUNDSON
CRISTY WELSH,KEITH KUDER,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,DAVID LAURET,G. TYCE FLAKE
G. TYCE FLAKE,CRISTY WELSH,DAVID LAURET,ANTHONY JENKINS,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
KEITH KUDER,ANTHONY JENKINS,DAVID LAURET,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,G. TYCE FLAKE
G. TYCE FLAKE,DAVID LAURET,skipped,skipped,skipped,skipped,skipped
CRISTY WELSH,G. TYCE FLAKE,TAY GUDMUNDSON,ANTHONY JENKINS,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
KEITH KUDER,ANTHONY JENKINS,DAVID LAURET,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,G. TYCE FLAKE
CRISTY WELSH,TAY GUDMUNDSON,ANTHONY JENKINS,G. TYCE FLAKE,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
KEITH KUDER,TAY GUDMUNDSON,DAVID LAURET,G. TYCE FLAKE,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,CRISTY WELSH
CRISTY WELSH,skipped,skipped,skipped,skipped,skipped,skipped
DAVID LAURET,ANTHONY JENKINS,CRISTY WELSH,G. TYCE FLAKE,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,DAVID LAURET,TAY GUDMUNDSON,CRISTY WELSH,G. TYCE FLAKE,skipped
G. TYCE FLAKE,G. TYCE FLAKE,G. TYCE FLAKE,G. TYCE FLAKE,G. TYCE FLAKE,G. TYCE FLAKE,G. TYCE FLAKE
HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,KEITH KUDER,ANTHONY JENKINS,TAY GUDMUNDSON,DAVID LAURET,G. TYCE FLAKE
HECTOR RAFAEL HERNANDEZ,skipped,skipped,skipped,skipped,skipped,skipped
G. TYCE FLAKE,DAVID LAURET,CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,G. TYCE FLAKE,CRISTY WELSH,TAY GUDMUNDSON,DAVID LAURET,KEITH KUDER
HECTOR RAFAEL HERNANDEZ,G. TYCE FLAKE,CRISTY WELSH,TAY GUDMUNDSON,ANTHONY JENKINS,DAVID LAURET,KEITH KUDER
TAY GUDMUNDSON,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,skipped,skipped,skipped
CRISTY WELSH,G. TYCE FLAKE,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,skipped,skipped,skipped
CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,DAVID LAURET,G. TYCE FLAKE,KEITH KUDER
DAVID LAURET,TAY GUDMUNDSON,G. TYCE FLAKE,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,KEITH KUDER
CRISTY WELSH,skipped,skipped,skipped,skipped,skipped,skipped
CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,DAVID LAURET,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
CRISTY WELSH,DAVID LAURET,ANTHONY JENKINS,G. TYCE FLAKE,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
TAY GUDMUNDSON,ANTHONY JENKINS,CRISTY WELSH,skipped,skipped,skipped,skipped
TAY GUDMUNDSON,ANTHONY JENKINS,CRISTY WELSH,skipped,skipped,skipped,skipped
G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,skipped,skipped,skipped,skipped,skipped
DAVID LAURET,KEITH KUDER,CRISTY WELSH,G. TYCE FLAKE,ANTHONY JENKINS,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ
KEITH KUDER,DAVID LAURET,CRISTY WELSH,G. TYCE FLAKE,skipped,skipped,skipped
DAVID LAURET,CRISTY WELSH,G. TYCE FLAKE,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,KEITH KUDER,ANTHONY JENKINS
DAVID LAURET,skipped,skipped,skipped,skipped,skipped,skipped
HECTOR RAFAEL HERNANDEZ,KEITH KUDER,G. TYCE FLAKE,ANTHONY JENKINS,DAVID LAURET,CRISTY WELSH,TAY GUDMUNDSON
CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,DAVID LAURET,G. TYCE FLAKE,skipped
CRISTY WELSH,DAVID LAURET,ANTHONY JENKINS,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,G. TYCE FLAKE,skipped
G. TYCE FLAKE,DAVID LAURET,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,KEITH KUDER,ANTHONY JENKINS
DAVID LAURET,CRISTY WELSH,skipped,skipped,skipped,skipped,skipped
DAVID LAURET,CRISTY WELSH,skipped,skipped,skipped,skipped,skipped
HECTOR RAFAEL HERNANDEZ,G. TYCE FLAKE,DAVID LAURET,CRISTY WELSH,TAY GUDMUNDSON,ANTHONY JENKINS,KEITH KUDER
DAVID LAURET,KEITH KUDER,G. TYCE FLAKE,CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ
CRISTY WELSH,DAVID LAURET,G. TYCE FLAKE,ANTHONY JENKINS,skipped,skipped,skipped
ANTHONY JENKINS,CRISTY WELSH,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,KEITH KUDER,skipped,skipped
KEITH KUDER,CRISTY WELSH,G. TYCE FLAKE,skipped,skipped,skipped,skipped
KEITH KUDER,G. TYCE FLAKE,DAVID LAURET,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,ANTHONY JENKINS
G. TYCE FLAKE,DAVID LAURET,KEITH KUDER,CRISTY WELSH,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS
CRISTY WELSH,DAVID LAURET,ANTHONY JENKINS,G. TYCE FLAKE,skipped,skipped,skipped
DAVID LAURET,G. TYCE FLAKE,CRISTY WELSH,KEITH KUDER,TAY GUDMUNDSON,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ
CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,DAVID LAURET,KEITH KUDER,TAY GUDMUNDSON,G. TYCE FLAKE,ANTHONY JENKINS
CRISTY WELSH,G. TYCE FLAKE,DAVID LAURET,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,KEITH KUDER
G. TYCE FLAKE,ANTHONY JENKINS,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,KEITH KUDER,TAY GUDMUNDSON
DAVID LAURET,CRISTY WELSH,skipped,skipped,skipped,skipped,skipped
G. TYCE FLAKE,CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,DAVID LAURET,KEITH KUDER
ANTHONY JENKINS,CRISTY WELSH,G. TYCE FLAKE,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped
DAVID LAURET,G. TYCE FLAKE,CRISTY WELSH,skipped,skipped,skipped,skipped
KEITH KUDER,TAY GUDMUNDSON,skipped,skipped,skipped,skipped,skipped
DAVID LAURET,KEITH KUDER,G. TYCE FLAKE,TAY GUDMUNDSON,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,CRISTY WELSH
HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,G. TYCE FLAKE,skipped,skipped,skipped,skipped
ANTHONY JENKINS,G. TYCE FLAKE,CRISTY WELSH,DAVID LAURET,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,skipped
ANTHONY JENKINS,G. TYCE FLAKE,CRISTY WELSH,DAVID LAURET,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,skipped
CRISTY WELSH,DAVID LAURET,KEITH KUDER,ANTHONY JENKINS,G. TYCE FLAKE,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ
DAVID LAURET,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,CRISTY WELSH,KEITH KUDER,G. TYCE FLAKE
ANTHONY JENKINS,G. TYCE FLAKE,CRISTY WELSH,DAVID LAURET,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
DAVID LAURET,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,KEITH KUDER,CRISTY WELSH,G. TYCE FLAKE
G. TYCE FLAKE,CRISTY WELSH,ANTHONY JENKINS,skipped,skipped,skipped,skipped
CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,KEITH KUDER,G. TYCE FLAKE,skipped,skipped
CRISTY WELSH,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,skipped,skipped,skipped
DAVID LAURET,KEITH KUDER,HECTOR RAFAEL HERNANDEZ,skipped,skipped,skipped,skipped
DAVID LAURET,KEITH KUDER,HECTOR RAFAEL HERNANDEZ,skipped,skipped,skipped,skipped
CRISTY WELSH,DAVID LAURET,G. TYCE FLAKE,TAY GUDMUNDSON,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
DAVID LAURET,CRISTY WELSH,skipped,skipped,skipped,skipped,skipped
DAVID LAURET,G. TYCE FLAKE,KEITH KUDER,CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ
G. TYCE FLAKE,DAVID LAURET,CRISTY WELSH,KEITH KUDER,skipped,skipped,skipped
DAVID LAURET,G. TYCE FLAKE,CRISTY WELSH,ANTHONY JENKINS,skipped,skipped,skipped
ANTHONY JENKINS,CRISTY WELSH,DAVID LAURET,G. TYCE FLAKE,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
TAY GUDMUNDSON,KEITH KUDER,CRISTY WELSH,DAVID LAURET,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,G. TYCE FLAKE
CRISTY WELSH,G. TYCE FLAKE,ANTHONY JENKINS,TAY GUDMUNDSON,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
DAVID LAURET,KEITH KUDER,skipped,skipped,skipped,skipped,skipped
CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,DAVID LAURET,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,G. TYCE FLAKE,DAVID LAURET,TAY GUDMUNDSON,KEITH KUDER
CRISTY WELSH,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,G. TYCE FLAKE,DAVID LAURET,TAY GUDMUNDSON,KEITH KUDER
G. TYCE FLAKE,DAVID LAURET,ANTHONY JENKINS,KEITH KUDER,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,CRISTY WELSH
CRISTY WELSH,G. TYCE FLAKE,ANTHONY JENKINS,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,skipped,skipped
ANTHONY JENKINS,CRISTY WELSH,G. TYCE FLAKE,skipped,skipped,skipped,skipped
ANTHONY JENKINS,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,skipped,skipped,skipped,skipped
CRISTY WELSH,DAVID LAURET,ANTHONY JENKINS,G. TYCE FLAKE,skipped,skipped,skipped
DAVID LAURET,G. TYCE FLAKE,KEITH KUDER,CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ
HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,TAY GUDMUNDSON,skipped,skipped,skipped,skipped
CRISTY WELSH,ANTHONY JENKINS,DAVID LAURET,G. TYCE FLAKE,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
DAVID LAURET,CRISTY WELSH,ANTHONY JENKINS,G. TYCE FLAKE,skipped,skipped,skipped
G. TYCE FLAKE,G. TYCE FLAKE,G. TYCE FLAKE,G. TYCE FLAKE,G. TYCE FLAKE,G. TYCE FLAKE,G. TYCE FLAKE
G. TYCE FLAKE,G. TYCE FLAKE,G. TYCE FLAKE,G. TYCE FLAKE,G. TYCE FLAKE,G. TYCE FLAKE,G. TYCE FLAKE
TAY GUDMUNDSON,CRISTY WELSH,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,skipped,skipped,skipped
CRISTY WELSH,G. TYCE FLAKE,ANTHONY JENKINS,DAVID LAURET,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
G. TYCE FLAKE,CRISTY WELSH,DAVID LAURET,ANTHONY JENKINS,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
G. TYCE FLAKE,DAVID LAURET,CRISTY WELSH,KEITH KUDER,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON
DAVID LAURET,KEITH KUDER,CRISTY WELSH,G. TYCE FLAKE,ANTHONY JENKINS,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ
CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,DAVID LAURET,G. TYCE FLAKE,skipped
G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,skipped,skipped,skipped,skipped,skipped
