BallotType,BatchId,CountingGroup,CvrNumber,ImprintedId,PrecinctPortion,RecordId,TabulatorNum,rank1,rank2,rank3,rank4,rank5
8 (8),186,Vote by Mail,7103,1001-186-466,261300 (0056),466,1001,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7104,1001-186-356,261300 (0056),356,1001,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,skipped,skipped
8 (8),186,Vote by Mail,7105,1001-186-281,261300 (0056),281,1001,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,skipped,skipped
8 (8),186,Vote by Mail,7106,1001-186-130,261300 (0056),130,1001,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,JOHN ANTHONY MIKI,NICK PILCH
8 (8),186,Vote by Mail,7107,1001-186-90,261300 (0056),90,1001,NICK PILCH,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI,NICK PILCH,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7108,1001-186-60,261300 (0056),60,1001,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,skipped,skipped,skipped
8 (8),186,Vote by Mail,7109,1001-186-35,261300 (0056),35,1001,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7110,1001-186-12,261300 (0056),12,1001,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7111,1001-186-443,261300 (0056),443,1001,JENNIFER HANSEN ROMERO,NICK PILCH,JOHN ANTHONY MIKI,skipped,skipped
8 (8),186,Vote by Mail,7112,1001-186-336,261300 (0056),336,1001,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7113,1001-186-256,261300 (0056),256,1001,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,ROBIN D  LOPEZ,skipped
8 (8),186,Vote by Mail,7114,1001-186-11,261300 (0056),11,1001,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7115,1001-186-597,261300 (0056),597,1001,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,NICK PILCH,ROBIN D  LOPEZ
8 (8),186,Vote by Mail,7116,1001-186-592,261300 (0056),592,1001,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,NICK PILCH,JENNIFER HANSEN ROMERO
8 (8),186,Vote by Mail,7117,1001-186-587,261300 (0056),587,1001,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,skipped,skipped
8 (8),186,Vote by Mail,7118,1001-186-459,261300 (0056),459,1001,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7119,1001-186-448,261300 (0056),448,1001,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,NICK PILCH
8 (8),186,Vote by Mail,7120,1001-186-371,261300 (0056),371,1001,NICK PILCH,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,skipped,skipped
8 (8),186,Vote by Mail,7121,1001-186-276,261300 (0056),276,1001,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,skipped
8 (8),186,Vote by Mail,7122,1001-186-201,261300 (0056),201,1001,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,ROBIN D  LOPEZ,skipped
8 (8),186,Vote by Mail,7123,1001-186-196,261300 (0056),196,1001,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),186,Vote by Mail,7124,1001-186-160,261300 (0056),160,1001,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,JOHN ANTHONY MIKI,ROBIN D  LOPEZ
8 (8),186,Vote by Mail,7125,1001-186-115,261300 (0056),115,1001,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7126,1001-186-45,261300 (0056),45,1001,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,skipped,skipped
8 (8),186,Vote by Mail,7127,1001-186-25,261300 (0056),25,1001,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,skipped,skipped
8 (8),186,Vote by Mail,7128,1001-186-630,261300 (0056),630,1001,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,skipped,skipped
8 (8),186,Vote by Mail,7129,1001-186-625,261300 (0056),625,1001,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,skipped,skipped,skipped
8 (8),186,Vote by Mail,7130,1001-186-502,261300 (0056),502,1001,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JENNIFER HANSEN ROMERO,skipped
8 (8),186,Vote by Mail,7131,1001-186-496,261300 (0056),496,1001,ROBIN D  LOPEZ,NICK PILCH,skipped,skipped,skipped
8 (8),186,Vote by Mail,7132,1001-186-351,261300 (0056),351,1001,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7133,1001-186-216,261300 (0056),216,1001,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),186,Vote by Mail,7134,1001-186-135,261300 (0056),135,1001,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO,NICK PILCH
8 (8),186,Vote by Mail,7135,1001-186-30,261300 (0056),30,1001,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,NICK PILCH,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7136,1001-186-616,261300 (0056),616,1001,JENNIFER HANSEN ROMERO,skipped,skipped,skipped,skipped
8 (8),186,Vote by Mail,7137,1001-186-476,261300 (0056),476,1001,JEREMIAH GARRETT PINGUELO,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO
8 (8),186,Vote by Mail,7138,1001-186-471,261300 (0056),471,1001,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,skipped,skipped,skipped
8 (8),186,Vote by Mail,7139,1001-186-326,261300 (0056),326,1001,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7140,1001-186-211,261300 (0056),211,1001,JENNIFER HANSEN ROMERO,NICK PILCH,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7141,1001-186-80,261300 (0056),80,1001,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,skipped,skipped
8 (8),186,Vote by Mail,7142,1001-186-40,261300 (0056),40,1001,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO,skipped,skipped,skipped
8 (8),186,Vote by Mail,7143,1001-186-670,261300 (0056),670,1001,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,NICK PILCH,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7144,1001-186-665,261300 (0056),665,1001,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7145,1001-186-532,261300 (0056),532,1001,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH
8 (8),186,Vote by Mail,7146,1001-186-410,261300 (0056),410,1001,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),186,Vote by Mail,7147,1001-186-296,261300 (0056),296,1001,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO,skipped,skipped
8 (8),186,Vote by Mail,7148,1001-186-246,261300 (0056),246,1001,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,NICK PILCH,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7149,1001-186-105,261300 (0056),105,1001,JOHN ANTHONY MIKI,overvote,ROBIN D  LOPEZ,skipped,skipped
8 (8),186,Vote by Mail,7150,1001-186-55,261300 (0056),55,1001,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),186,Vote by Mail,7151,1001-186-660,261300 (0056),660,1001,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7152,1001-186-655,261300 (0056),655,1001,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,NICK PILCH,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7153,1001-186-542,261300 (0056),542,1001,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7154,1001-186-537,261300 (0056),537,1001,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO,NICK PILCH,JENNIFER HANSEN ROMERO
8 (8),186,Vote by Mail,7155,1001-186-405,261300 (0056),405,1001,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),186,Vote by Mail,7156,1001-186-400,261300 (0056),400,1001,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),186,Vote by Mail,7157,1001-186-311,261300 (0056),311,1001,JOHN ANTHONY MIKI,skipped,skipped,skipped,skipped
8 (8),186,Vote by Mail,7158,1001-186-236,261300 (0056),236,1001,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7159,1001-186-150,261300 (0056),150,1001,NICK PILCH,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,ROBIN D  LOPEZ
8 (8),186,Vote by Mail,7160,1001-186-110,261300 (0056),110,1001,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,skipped
8 (8),186,Vote by Mail,7161,1001-186-73,261300 (0056),73,1001,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,skipped
8 (8),186,Vote by Mail,7162,1001-186-611,261300 (0056),611,1001,JENNIFER HANSEN ROMERO,skipped,skipped,skipped,skipped
8 (8),186,Vote by Mail,7163,1001-186-610,261300 (0056),610,1001,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,skipped,skipped,skipped
8 (8),186,Vote by Mail,7164,1001-186-491,261300 (0056),491,1001,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,skipped,skipped
8 (8),186,Vote by Mail,7165,1001-186-343,261300 (0056),343,1001,NICK PILCH,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,skipped,skipped
8 (8),186,Vote by Mail,7166,1001-186-341,261300 (0056),341,1001,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,skipped
8 (8),186,Vote by Mail,7167,1001-186-286,261300 (0056),286,1001,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7168,1001-186-226,261300 (0056),226,1001,JOHN ANTHONY MIKI,skipped,skipped,skipped,skipped
8 (8),186,Vote by Mail,7169,1001-186-145,261300 (0056),145,1001,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,NICK PILCH,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7170,1001-186-70,261300 (0056),70,1001,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7171,1001-186-634,261300 (0056),634,1001,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,skipped,skipped,skipped
8 (8),186,Vote by Mail,7172,1001-186-507,261300 (0056),507,1001,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7173,1001-186-395,261300 (0056),395,1001,NICK PILCH,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,skipped,skipped
8 (8),186,Vote by Mail,7174,1001-186-301,261300 (0056),301,1001,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),186,Vote by Mail,7175,1001-186-231,261300 (0056),231,1001,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7176,1001-186-165,261300 (0056),165,1001,NICK PILCH,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,skipped,skipped
8 (8),186,Vote by Mail,7177,1001-186-83,261300 (0056),83,1001,NICK PILCH,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7178,1001-186-645,261300 (0056),645,1001,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO,JOHN ANTHONY MIKI
8 (8),186,Vote by Mail,7179,1001-186-640,261300 (0056),640,1001,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,skipped
8 (8),186,Vote by Mail,7180,1001-186-522,261300 (0056),522,1001,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH
8 (8),186,Vote by Mail,7181,1001-186-381,261300 (0056),381,1001,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,skipped,skipped
8 (8),186,Vote by Mail,7182,1001-186-376,261300 (0056),376,1001,NICK PILCH,JENNIFER HANSEN ROMERO,skipped,skipped,skipped
8 (8),186,Vote by Mail,7183,1001-186-306,261300 (0056),306,1001,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,skipped
8 (8),186,Vote by Mail,7184,1001-186-247,261300 (0056),247,1001,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,skipped,skipped
8 (8),186,Vote by Mail,7185,1001-186-170,261300 (0056),170,1001,JENNIFER HANSEN ROMERO,NICK PILCH,JOHN ANTHONY MIKI,skipped,skipped
8 (8),186,Vote by Mail,7186,1001-186-605,261300 (0056),605,1001,NICK PILCH,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,skipped,skipped
8 (8),186,Vote by Mail,7187,1001-186-600,261300 (0056),600,1001,NICK PILCH,skipped,skipped,skipped,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7188,1001-186-485,261300 (0056),485,1001,JENNIFER HANSEN ROMERO,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7189,1001-186-481,261300 (0056),481,1001,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7190,1001-186-365,261300 (0056),365,1001,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,overvote,ROBIN D  LOPEZ,skipped
8 (8),186,Vote by Mail,7191,1001-186-291,261300 (0056),291,1001,JENNIFER HANSEN ROMERO,skipped,skipped,skipped,skipped
8 (8),186,Vote by Mail,7192,1001-186-155,261300 (0056),155,1001,JENNIFER HANSEN ROMERO,NICK PILCH,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,ROBIN D  LOPEZ
8 (8),186,Vote by Mail,7193,1001-186-650,261300 (0056),650,1001,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,skipped
8 (8),186,Vote by Mail,7194,1001-186-517,261300 (0056),517,1001,ROBIN D  LOPEZ,NICK PILCH,JEREMIAH GARRETT PINGUELO,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO
8 (8),186,Vote by Mail,7195,1001-186-390,261300 (0056),390,1001,JENNIFER HANSEN ROMERO,JENNIFER HANSEN ROMERO,JENNIFER HANSEN ROMERO,JENNIFER HANSEN ROMERO,JENNIFER HANSEN ROMERO
8 (8),186,Vote by Mail,7196,1001-186-386,261300 (0056),386,1001,NICK PILCH,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,skipped,skipped
8 (8),186,Vote by Mail,7197,1001-186-241,261300 (0056),241,1001,JOHN ANTHONY MIKI,skipped,skipped,skipped,skipped
8 (8),186,Vote by Mail,7198,1001-186-181,261300 (0056),181,1001,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,skipped
8 (8),186,Vote by Mail,7200,1001-186-547,261300 (0056),547,1001,JENNIFER HANSEN ROMERO,JENNIFER HANSEN ROMERO,JENNIFER HANSEN ROMERO,JENNIFER HANSEN ROMERO,JENNIFER HANSEN ROMERO
8 (8),186,Vote by Mail,7201,1001-186-120,261300 (0056),120,1001,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,NICK PILCH,ROBIN D  LOPEZ
8 (8),186,Vote by Mail,7202,1001-186-221,261300 (0056),221,1001,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH
8 (8),186,Vote by Mail,7203,1001-186-191,261300 (0056),191,1001,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7205,1001-186-458,261300 (0056),458,1001,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7206,1001-186-321,261300 (0056),321,1001,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO,skipped
8 (8),186,Vote by Mail,7207,1001-186-453,261300 (0056),453,1001,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),186,Vote by Mail,7210,1001-186-497,261300 (0056),497,1001,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,NICK PILCH,JENNIFER HANSEN ROMERO
8 (8),334,Vote by Mail,7212,1009-334-716,262000 (0057),716,1009,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),334,Vote by Mail,7213,1009-334-704,262000 (0057),704,1009,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JEREMIAH GARRETT PINGUELO
8 (8),334,Vote by Mail,7214,1009-334-584,262000 (0057),584,1009,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),334,Vote by Mail,7215,1009-334-469,262000 (0057),469,1009,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,skipped,skipped
8 (8),334,Vote by Mail,7216,1009-334-464,262000 (0057),464,1009,ROBIN D  LOPEZ,skipped,skipped,skipped,skipped
8 (8),334,Vote by Mail,7217,1009-334-459,262000 (0057),459,1009,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),334,Vote by Mail,7218,1009-334-336,262000 (0057),336,1009,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),334,Vote by Mail,7219,1009-334-331,262000 (0057),331,1009,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,NICK PILCH
8 (8),334,Vote by Mail,7220,1009-334-261,262000 (0057),261,1009,overvote,ROBIN D  LOPEZ,skipped,skipped,skipped
8 (8),334,Vote by Mail,7221,1009-334-256,262000 (0057),256,1009,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,skipped,skipped
8 (8),334,Vote by Mail,7222,1009-334-194,262000 (0057),194,1009,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,skipped,skipped,skipped
8 (8),334,Vote by Mail,7223,1009-334-159,262000 (0057),159,1009,NICK PILCH,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO
8 (8),334,Vote by Mail,7224,1009-334-89,262000 (0057),89,1009,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,NICK PILCH,ROBIN D  LOPEZ,JOHN ANTHONY MIKI
8 (8),334,Vote by Mail,7225,1009-334-15,262000 (0057),15,1009,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),334,Vote by Mail,7226,1009-334-754,262000 (0057),754,1009,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,skipped,skipped,skipped
8 (8),334,Vote by Mail,7227,1009-334-748,262000 (0057),748,1009,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,skipped
8 (8),334,Vote by Mail,7228,1009-334-614,262000 (0057),614,1009,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO
8 (8),334,Vote by Mail,7230,1009-334-494,262000 (0057),494,1009,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO,NICK PILCH
8 (8),334,Vote by Mail,7231,1009-334-489,262000 (0057),489,1009,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),334,Vote by Mail,7232,1009-334-371,262000 (0057),371,1009,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),334,Vote by Mail,7233,1009-334-291,262000 (0057),291,1009,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),334,Vote by Mail,7234,1009-334-216,262000 (0057),216,1009,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,NICK PILCH,JENNIFER HANSEN ROMERO
8 (8),334,Vote by Mail,7235,1009-334-124,262000 (0057),124,1009,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),334,Vote by Mail,7236,1009-334-10,262000 (0057),10,1009,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),334,Vote by Mail,7237,1009-334-654,262000 (0057),654,1009,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,skipped
8 (8),334,Vote by Mail,7238,1009-334-649,262000 (0057),649,1009,NICK PILCH,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),334,Vote by Mail,7239,1009-334-411,262000 (0057),411,1009,JENNIFER HANSEN ROMERO,NICK PILCH,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO
8 (8),334,Vote by Mail,7240,1009-334-321,262000 (0057),321,1009,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),334,Vote by Mail,7241,1009-334-201,262000 (0057),201,1009,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,skipped
8 (8),334,Vote by Mail,7242,1009-334-164,262000 (0057),164,1009,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,skipped
8 (8),334,Vote by Mail,7243,1009-334-40,262000 (0057),40,1009,JENNIFER HANSEN ROMERO,skipped,skipped,skipped,skipped
8 (8),334,Vote by Mail,7244,1009-334-741,262000 (0057),741,1009,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,skipped,skipped
8 (8),334,Vote by Mail,7245,1009-334-732,262000 (0057),732,1009,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),334,Vote by Mail,7246,1009-334-731,262000 (0057),731,1009,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),334,Vote by Mail,7247,1009-334-604,262000 (0057),604,1009,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO
8 (8),334,Vote by Mail,7248,1009-334-599,262000 (0057),599,1009,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),334,Vote by Mail,7249,1009-334-474,262000 (0057),474,1009,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,skipped,skipped
