Cast Vote Record,Precinct,Ballot Style,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11
8336,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Chann, Marpheen S.","Washburn, Patricia J.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote
8337,Portland 1-1,Ballot Style 1,"DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8338,Portland 1-1,Ballot Style 1,"Condrey, Lawson T.","Bailey, William M.","DiMillo, Steven A.",undervote,"Grant, Benjamin K.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote
8339,Portland 1-1,Ballot Style 1,"DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8340,Portland 1-1,Ballot Style 1,"DiMillo, Steven A.","Bailey, William M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8341,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Emerson, Anthony M.","Grant, Benjamin K.","Condrey, Lawson T.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote
8342,Portland 1-1,Ballot Style 1,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8343,Portland 1-1,Ballot Style 1,"DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8344,Portland 1-1,Ballot Style 1,"Houseal, Ian P.","Bailey, William M.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8345,Portland 1-1,Ballot Style 1,"Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.","Emerson, Anthony M.","Buxton, Catherine A.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote
8346,Portland 1-1,Ballot Style 1,"Grant, Benjamin K.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8347,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8348,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Emerson, Anthony M.","Washburn, Patricia J.","Condrey, Lawson T.","Chann, Marpheen S.","Houseal, Ian P.",undervote,undervote,undervote,undervote
8349,Portland 1-1,Ballot Style 1,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.","Buxton, Catherine A.","Washburn, Patricia J.","Bailey, William M.","Condrey, Lawson T.","DiMillo, Steven A.","Emerson, Anthony M.","Houseal, Ian P.","Rovelto, Hope R."
8350,Portland 1-1,Ballot Style 1,"Chann, Marpheen S.","DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8351,Portland 1-1,Ballot Style 1,"Washburn, Patricia J.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8352,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8353,Portland 1-1,Ballot Style 1,"Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8354,Portland 1-1,Ballot Style 1,"DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8355,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Chann, Marpheen S.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote
8356,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Emerson, Anthony M.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8357,Portland 1-1,Ballot Style 1,undervote,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8358,Portland 1-1,Ballot Style 1,"DiMillo, Steven A.","Grant, Benjamin K.","Bailey, William M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8359,Portland 1-1,Ballot Style 1,"DiMillo, Steven A.","Grant, Benjamin K.","Chann, Marpheen S.","Bailey, William M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8360,Portland 1-1,Ballot Style 1,"Grant, Benjamin K.","Condrey, Lawson T.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8361,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.","Condrey, Lawson T.","Grant, Benjamin K.","Chann, Marpheen S.","Houseal, Ian P.","DiMillo, Steven A.","Bailey, William M.",undervote
8362,Portland 1-1,Ballot Style 1,"Chann, Marpheen S.","Emerson, Anthony M.","Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Houseal, Ian P.","Condrey, Lawson T.","Washburn, Patricia J.",undervote,"Buxton, Catherine A.","Bailey, William M.","DiMillo, Steven A."
8363,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8364,Portland 1-1,Ballot Style 1,"Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8365,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8366,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8367,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8368,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Chann, Marpheen S.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8369,Portland 1-1,Ballot Style 1,"Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8370,Portland 1-1,Ballot Style 1,"Chann, Marpheen S.","Grant, Benjamin K.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8371,Portland 1-1,Ballot Style 1,"Chann, Marpheen S.","Houseal, Ian P.","Condrey, Lawson T.","DiMillo, Steven A.","Bailey, William M.","Chann, Marpheen S.","Houseal, Ian P.","Condrey, Lawson T.","Chann, Marpheen S.","Houseal, Ian P.","Condrey, Lawson T."
8372,Portland 1-1,Ballot Style 1,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8373,Portland 1-1,Ballot Style 1,"Chann, Marpheen S.","Grant, Benjamin K.","Buxton, Catherine A.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote
8374,Portland 1-1,Ballot Style 1,"Grant, Benjamin K.","Buxton, Catherine A.","Condrey, Lawson T.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8375,Portland 1-1,Ballot Style 1,"Chann, Marpheen S.","DiMillo, Steven A.","Bailey, William M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8376,Portland 1-1,Ballot Style 1,"Washburn, Patricia J.","Buxton, Catherine A.","Buxton, Catherine A.","Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.",undervote,undervote,undervote,undervote,undervote,undervote
8377,Portland 1-1,Ballot Style 1,"Grant, Benjamin K.","Bailey, William M.","Washburn, Patricia J.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8378,Portland 1-1,Ballot Style 1,"DiMillo, Steven A.","Emerson, Anthony M.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8379,Portland 1-1,Ballot Style 1,"Grant, Benjamin K.","Buxton, Catherine A.","Emerson, Anthony M.","DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8380,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Buxton, Catherine A.","Washburn, Patricia J.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote
8381,Portland 1-1,Ballot Style 1,"DiMillo, Steven A.","Chann, Marpheen S.","Bailey, William M.","Emerson, Anthony M.",undervote,"Washburn, Patricia J.","Buxton, Catherine A.","Condrey, Lawson T.","Grant, Benjamin K.","Rovelto, Hope R.","Houseal, Ian P."
8382,Portland 1-1,Ballot Style 1,"Bailey, William M.","Buxton, Catherine A.","Chann, Marpheen S.","Condrey, Lawson T.","Emerson, Anthony M.","Grant, Benjamin K.","Houseal, Ian P.","Rovelto, Hope R.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","DiMillo, Steven A."
8383,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Washburn, Patricia J.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8384,Portland 1-1,Ballot Style 1,overvote,undervote,"Chann, Marpheen S.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8385,Portland 1-1,Ballot Style 1,"Grant, Benjamin K.","Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Emerson, Anthony M.","Condrey, Lawson T.","Buxton, Catherine A.","Bailey, William M.","DiMillo, Steven A.",undervote,undervote
8386,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Emerson, Anthony M.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8387,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Chann, Marpheen S.","Washburn, Patricia J.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote,undervote
8388,Portland 1-1,Ballot Style 1,"Buxton, Catherine A.","Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.","Washburn, Patricia J.","DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote
8389,Portland 1-1,Ballot Style 1,"Buxton, Catherine A.","Grant, Benjamin K.","Condrey, Lawson T.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Emerson, Anthony M.","Houseal, Ian P.","Chann, Marpheen S.","Rovelto, Hope R.","Bailey, William M.","DiMillo, Steven A."
8390,Portland 1-1,Ballot Style 1,"Buxton, Catherine A.","Chann, Marpheen S.","Condrey, Lawson T.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Washburn, Patricia J.","Grant, Benjamin K.",undervote,undervote,undervote,undervote
8391,Portland 1-1,Ballot Style 1,"Bailey, William M.","Chann, Marpheen S.","DiMillo, Steven A.","Houseal, Ian P.","Condrey, Lawson T.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote
8392,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Condrey, Lawson T.","Chann, Marpheen S.","Rovelto, Hope R.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote
8393,Portland 1-1,Ballot Style 1,"Grant, Benjamin K.","Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Condrey, Lawson T.","Washburn, Patricia J.","Emerson, Anthony M.","Rovelto, Hope R.","Buxton, Catherine A.","DiMillo, Steven A.","Houseal, Ian P.","Bailey, William M."
8394,Portland 1-1,Ballot Style 1,"DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8395,Portland 1-1,Ballot Style 1,overvote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8396,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8397,Portland 1-1,Ballot Style 1,"Grant, Benjamin K.","Washburn, Patricia J.","Houseal, Ian P.","Rovelto, Hope R.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8398,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Buxton, Catherine A.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8399,Portland 1-1,Ballot Style 1,"Chann, Marpheen S.","Buxton, Catherine A.","Grant, Benjamin K.","Condrey, Lawson T.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote,undervote
8400,Portland 1-1,Ballot Style 1,"DiMillo, Steven A.","Bailey, William M.","Chann, Marpheen S.","Houseal, Ian P.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote
8401,Portland 1-1,Ballot Style 1,"DiMillo, Steven A.","Bailey, William M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8402,Portland 1-1,Ballot Style 1,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8403,Portland 1-1,Ballot Style 1,"Chann, Marpheen S.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8404,Portland 1-1,Ballot Style 1,"Chann, Marpheen S.","Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8405,Portland 1-1,Ballot Style 1,"DiMillo, Steven A.","Chann, Marpheen S.","Bailey, William M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8406,Portland 1-1,Ballot Style 1,"Grant, Benjamin K.","Washburn, Patricia J.","Condrey, Lawson T.","Emerson, Anthony M.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote
8407,Portland 1-1,Ballot Style 1,"DiMillo, Steven A.","Bailey, William M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8408,Portland 1-1,Ballot Style 1,"Condrey, Lawson T.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8409,Portland 1-1,Ballot Style 1,"Grant, Benjamin K.","Chann, Marpheen S.","Condrey, Lawson T.","DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8410,Portland 1-1,Ballot Style 1,"Chann, Marpheen S.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote,undervote
8411,Portland 1-1,Ballot Style 1,"Buxton, Catherine A.","Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Emerson, Anthony M.","Condrey, Lawson T.","Chann, Marpheen S.",undervote,undervote,undervote,undervote
8412,Portland 1-1,Ballot Style 1,"Chann, Marpheen S.","Grant, Benjamin K.","DiMillo, Steven A.","Bailey, William M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8413,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8414,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8415,Portland 1-1,Ballot Style 1,"Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,"DiMillo, Steven A."
8416,Portland 1-1,Ballot Style 1,"DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8417,Portland 1-1,Ballot Style 1,"Buxton, Catherine A.","Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Condrey, Lawson T.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote
8418,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8419,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8420,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8421,Portland 1-1,Ballot Style 1,"Chann, Marpheen S.","DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8422,Portland 1-1,Ballot Style 1,"Grant, Benjamin K.","Houseal, Ian P.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","DiMillo, Steven A.","Condrey, Lawson T.","Bailey, William M.","Buxton, Catherine A.","Chann, Marpheen S.","Rovelto, Hope R."
8423,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Emerson, Anthony M.","Washburn, Patricia J.","Condrey, Lawson T.","Grant, Benjamin K.","Chann, Marpheen S.",undervote,undervote,undervote,undervote
8424,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8425,Portland 1-1,Ballot Style 1,"DiMillo, Steven A.","Houseal, Ian P.","Chann, Marpheen S.","Bailey, William M.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote
8426,Portland 1-1,Ballot Style 1,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.","Houseal, Ian P.","Chann, Marpheen S.","DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote
8427,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.","Condrey, Lawson T.","Chann, Marpheen S.","Grant, Benjamin K.","Houseal, Ian P.","Bailey, William M.","DiMillo, Steven A.",undervote
8428,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8429,Portland 1-1,Ballot Style 1,"DiMillo, Steven A.","Chann, Marpheen S.","Bailey, William M.","Sheikh-Yousef, Nasreen A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8430,Portland 1-1,Ballot Style 1,"DiMillo, Steven A.","Bailey, William M.","Chann, Marpheen S.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8431,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8432,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Emerson, Anthony M.","Chann, Marpheen S.","Buxton, Catherine A.","Condrey, Lawson T.","Grant, Benjamin K.","Houseal, Ian P.",undervote,undervote,undervote
8433,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Buxton, Catherine A.","Grant, Benjamin K.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote
8434,Portland 1-1,Ballot Style 1,"Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8435,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8436,Portland 1-1,Ballot Style 1,"Grant, Benjamin K.","Condrey, Lawson T.","Houseal, Ian P.","Buxton, Catherine A.","Chann, Marpheen S.","DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote
8437,Portland 1-1,Ballot Style 1,"DiMillo, Steven A.","Houseal, Ian P.","Chann, Marpheen S.","Bailey, William M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8438,Portland 1-1,Ballot Style 1,"DiMillo, Steven A.","Houseal, Ian P.","Bailey, William M.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8439,Portland 1-1,Ballot Style 1,"Grant, Benjamin K.","Bailey, William M.","DiMillo, Steven A.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8440,Portland 1-1,Ballot Style 1,"Grant, Benjamin K.","Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8441,Portland 1-1,Ballot Style 1,"Grant, Benjamin K.","DiMillo, Steven A.","Chann, Marpheen S.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8442,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","DiMillo, Steven A.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8443,Portland 1-1,Ballot Style 1,"DiMillo, Steven A.","Chann, Marpheen S.","Washburn, Patricia J.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8444,Portland 1-1,Ballot Style 1,"Bailey, William M.","Chann, Marpheen S.","Condrey, Lawson T.","DiMillo, Steven A.","Emerson, Anthony M.","Grant, Benjamin K.","Houseal, Ian P.","Rovelto, Hope R.",undervote,undervote,undervote
8445,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Buxton, Catherine A.","Condrey, Lawson T.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote
8446,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Grant, Benjamin K.","Chann, Marpheen S.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote
8447,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8448,Portland 1-1,Ballot Style 1,"DiMillo, Steven A.","Chann, Marpheen S.","Bailey, William M.","Houseal, Ian P.",undervote,undervote,"Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Grant, Benjamin K.","Washburn, Patricia J."
8449,Portland 1-1,Ballot Style 1,"Chann, Marpheen S.","Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8450,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Chann, Marpheen S.","Buxton, Catherine A.","Washburn, Patricia J.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote
8451,Portland 1-1,Ballot Style 1,"DiMillo, Steven A.","Grant, Benjamin K.","Chann, Marpheen S.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8452,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Chann, Marpheen S.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8453,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Chann, Marpheen S.","Condrey, Lawson T.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8454,Portland 1-1,Ballot Style 1,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8455,Portland 1-1,Ballot Style 1,"DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8456,Portland 1-1,Ballot Style 1,"Chann, Marpheen S.","Grant, Benjamin K.","Houseal, Ian P.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8457,Portland 1-1,Ballot Style 1,"Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8458,Portland 1-1,Ballot Style 1,"Condrey, Lawson T.","Grant, Benjamin K.","Washburn, Patricia J.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8459,Portland 1-1,Ballot Style 1,"Grant, Benjamin K.","Chann, Marpheen S.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8460,Portland 1-1,Ballot Style 1,"Grant, Benjamin K.","Washburn, Patricia J.","Bailey, William M.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
8461,Portland 1-1,Ballot Style 1,"DiMillo, Steven A.","Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8462,Portland 1-1,Ballot Style 1,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8463,Portland 1-1,Ballot Style 1,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.","Emerson, Anthony M.","Washburn, Patricia J.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote
8464,Portland 1-1,Ballot Style 1,"DiMillo, Steven A.","Buxton, Catherine A.",undervote,undervote,undervote,"Bailey, William M.","Emerson, Anthony M.",undervote,undervote,undervote,undervote
8465,Portland 1-1,Ballot Style 1,"Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8466,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8467,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
8468,Portland 1-1,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Emerson, Anthony M.","Washburn, Patricia J.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote
8469,Portland 1-1,Ballot Style 1,undervote,"Buxton, Catherine A.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote
8470,Portland 1-1,Ballot Style 1,"Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Condrey, Lawson T.","DiMillo, Steven A.","Emerson, Anthony M.","Grant, Benjamin K.",undervote,undervote,undervote,undervote
